name,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,Count,Month_review,Year_review,Day_review
Skylit Midtown Castle,Jennifer,Manhattan,Midtown,40.75356,-73.98559,Entire home/apt,150,30,48,2019-11-04,0.34,3,341,0,1,11,2019,2
"Whole flr w/private bdrm, bath & kitchen(pls read)",LisaRoxanne,Brooklyn,Bedford-Stuyvesant,40.68494,-73.95765,Entire home/apt,75,1,408,2021-06-29,5.09,1,212,68,1,6,2021,3
BlissArtsSpace!,Garon,Brooklyn,Bedford-Stuyvesant,40.68535,-73.95512,Private room,60,30,50,2016-06-05,0.55,1,365,0,1,6,2016,1
"Spacious Brooklyn Duplex, Patio + Garden",Rebecca,Brooklyn,Sunset Park,40.66265,-73.99454,Entire home/apt,275,5,1,2014-01-02,0.01,1,184,0,1,1,2014,5
Large Furnished Room Near B'way　,Shunichi,Manhattan,Midtown,40.76457,-73.98317,Private room,61,2,485,2021-07-18,3.63,1,255,12,1,7,2021,1
Cozy Clean Guest Room - Family Apt,MaryEllen,Manhattan,Upper West Side,40.8038,-73.96751,Private room,75,2,118,2017-07-12,0.9,1,0,0,1,7,2017,4
"Lovely Room 1, Garden, Best Area, Legal rental",Laurie,Brooklyn,South Slope,40.66801,-73.98784,Private room,98,4,192,2021-07-18,1.43,3,336,13,1,7,2021,1
Only 2 stops to Manhattan studio,Allen & Irina,Brooklyn,Williamsburg,40.70935,-73.95342,Entire home/apt,89,30,181,2020-03-09,1.27,1,263,0,1,3,2020,2
UES Beautiful Blue Room,Cyn,Manhattan,East Harlem,40.78778,-73.94759,Private room,62,30,234,2021-07-04,1.88,1,258,1,1,7,2021,1
"Amazing location! Wburg. Large, bright & tranquil",Joelle,Brooklyn,Williamsburg,40.71248,-73.95881,Private room,90,27,9,2015-08-31,0.07,2,172,0,1,8,2015,2
Perfect for Your Parents:  Privacy + Garden,Jane,Brooklyn,Fort Greene,40.69121,-73.97277,Entire home/apt,199,2,259,2021-08-01,2.95,2,278,30,1,8,2021,1
Sweet and Spacious Brooklyn Loft,Chaya,Brooklyn,Williamsburg,40.71778,-73.9568,Entire home/apt,299,30,9,2011-12-28,0.06,1,307,0,1,12,2011,4
"Maison des Sirenes1,bohemian, luminous apartment",Nathalie,Brooklyn,Bedford-Stuyvesant,40.68462,-73.93839,Entire home/apt,136,2,132,2021-06-28,1.15,2,315,18,1,6,2021,2
Midtown Pied-a-terre,Tommi,Manhattan,Hell's Kitchen,40.76724,-73.98664,Entire home/apt,150,30,58,2017-08-13,0.57,1,215,0,1,8,2017,1
Modern 1 BR / NYC / East Village,Dana,Manhattan,East Village,40.72712,-73.98598,Entire home/apt,192,10,39,2021-07-17,0.73,1,34,6,1,7,2021,7
Spacious 1 bedroom in luxe building,Teri,Manhattan,Harlem,40.81317,-73.95465,Private room,55,30,98,2020-03-14,1.44,1,216,0,1,3,2020,7
Large B&B Style rooms,Angela,Brooklyn,Bedford-Stuyvesant,40.68294,-73.95682,Private room,80,30,76,2021-04-01,0.67,5,212,1,1,4,2021,5
"Lovely Room 2; Garden; Best area, Legal",Laurie,Brooklyn,South Slope,40.66692,-73.98981,Private room,98,4,188,2021-07-18,2.14,3,334,8,1,7,2021,1
ENJOY Downtown NYC!,Edward,Manhattan,East Village,40.72296,-73.98383,Private room,40,2,265,2020-11-14,2.04,2,30,3,1,11,2020,7
BEST BET IN HARLEM,Earl,Manhattan,Harlem,40.8114,-73.94296,Entire home/apt,250,30,107,2019-07-09,0.81,1,364,0,1,7,2019,3
"1 Stop fr. Manhattan! Private Suite,Landmark Block",Orestes,Queens,Long Island City,40.74757,-73.94571,Private room,145,3,294,2021-07-27,3.11,1,164,14,1,7,2021,3
Charming Brownstone 3 - Near PRATT,Adreinne,Brooklyn,Bedford-Stuyvesant,40.67946,-73.95417,Entire home/apt,99,30,71,2021-06-14,1.01,1,226,5,1,6,2021,2
(E) RIGHT ON BUDGET,Jullett,Queens,Jamaica,40.67144,-73.76501,Private room,75,2,68,2021-07-11,0.82,5,361,3,1,7,2021,1
Fort Greene brownstone,Alexander,Brooklyn,Fort Greene,40.69222,-73.97336,Private room,80,1,143,2019-08-24,1.2,1,129,0,1,8,2019,7
Blue Room for 2 in Brownstone for $1350 monthly,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,40.68064,-73.94039,Private room,80,2,152,2021-07-25,1.28,4,243,11,1,7,2021,1
* ORIGINAL BROOKLYN LOFT *,James,Brooklyn,Williamsburg,40.70348,-73.93621,Entire home/apt,197,3,108,2021-06-28,2.08,1,129,13,1,6,2021,2
Greenpoint Place...Has It All!,Jeanne,Brooklyn,Greenpoint,40.73535,-73.95584,Entire home/apt,99,30,179,2020-03-14,2.11,1,215,1,1,3,2020,7
Best Location in NYC! TIMES SQUARE!,Luiz,Manhattan,Hell's Kitchen,40.75611,-73.99523,Private room,79,2,328,2021-07-17,2.69,2,309,3,1,7,2021,7
"Bright 1bd Nolita Apt, Doorman, Elevator, Security",Ted,Manhattan,Nolita,40.72297,-73.99684,Entire home/apt,191,30,26,2020-10-14,0.72,1,65,1,1,10,2020,4
"Very, very cozy place",Cristina,Brooklyn,Williamsburg,40.71211,-73.96397,Private room,80,7,49,2020-01-01,0.4,1,216,0,1,1,2020,4
Sunny & Spacious Chelsea Apartment,Petra,Manhattan,Chelsea,40.74493,-73.99521,Entire home/apt,400,30,5,2016-10-18,0.08,1,61,0,1,10,2016,3
2 bedroom Upper East Side,D,Manhattan,Upper East Side,40.77119,-73.95241,Entire home/apt,206,30,84,2020-07-08,0.63,3,226,1,1,7,2020,4
Comfortable 4-bedroom apt in family house.,Dimitri,Brooklyn,Prospect Heights,40.67839,-73.96642,Entire home/apt,140,30,152,2020-12-29,1.28,1,286,2,1,12,2020,3
Double Room w Private Deck Clinton Hill Best Area,Patricia,Brooklyn,Clinton Hill,40.69121,-73.96804,Private room,55,14,29,2021-02-28,0.36,2,277,1,1,2,2021,1
Quiet Full Floor Loft with Home Theater,Ariel,Brooklyn,Williamsburg,40.7092,-73.96641,Entire home/apt,364,1,202,2021-07-16,1.56,1,353,30,1,7,2021,6
Large Room in Amazing East Village Apt,Casey,Manhattan,East Village,40.72281,-73.98501,Private room,99,1,125,2021-07-23,1.69,2,56,7,1,7,2021,6
SpaHa Loft: Enormous and Bright,Robin,Manhattan,East Harlem,40.8019,-73.93762,Entire home/apt,300,5,226,2021-07-20,1.85,1,133,14,1,7,2021,3
Lovely EV Artist's Home,Anna,Manhattan,East Village,40.72289,-73.98028,Entire home/apt,160,30,53,2018-05-14,0.48,1,139,0,1,5,2018,2
"HARLEM, NYC,STILL WELCOMES YOU!! xx",Tye And Etienne,Manhattan,Washington Heights,40.83253,-73.94108,Private room,65,2,60,2019-12-08,1.15,2,355,0,1,12,2019,1
BLUE TRIM GUEST HOUSE,George,Brooklyn,Clinton Hill,40.68503,-73.96555,Private room,95,150,128,2020-03-08,1.13,1,364,0,1,3,2020,1
Charming East Village One Bedroom Flat,Josh,Manhattan,East Village,40.72862,-73.98748,Entire home/apt,190,30,21,2018-08-28,0.16,1,295,0,1,8,2018,3
Beautiful Meatpacking District Loft,DAVID And RICK,Manhattan,Chelsea,40.74261,-74.00353,Private room,175,4,190,2021-07-24,1.91,1,291,6,1,7,2021,7
Cozy Studio in Great Location!,Fabian,Manhattan,Kips Bay,40.73808,-73.98001,Private room,95,30,1,2016-03-22,0.02,1,0,0,1,3,2016,3
Spacious luminous apt Upper West NYC,Sybilla,Manhattan,Harlem,40.82817,-73.95133,Entire home/apt,110,31,58,2020-09-01,0.48,1,64,1,1,9,2020,3
"Sunny, Spacious Top Floor Haven",Gaia,Brooklyn,Flatbush,40.65437,-73.96278,Private room,110,30,17,2019-07-20,0.15,1,89,0,1,7,2019,7
2 bedroom Williamsburg Apt - Bedford L stop,Starlee,Brooklyn,Williamsburg,40.71802,-73.95724,Entire home/apt,105,30,61,2018-07-29,0.64,1,269,0,1,7,2018,1
Room in Brownstone B/Q feet away,Guillaume,Brooklyn,Prospect Heights,40.6771,-73.97231,Private room,85,30,47,2021-03-31,0.66,4,339,4,1,3,2021,4
Sunny room+Pvte office in huge loft,Augustin,Brooklyn,Bushwick,40.69891,-73.93809,Private room,50,5,31,2020-11-24,0.67,1,292,1,1,11,2020,3
Charming 1 bed GR8 WBurg LOCATION!,Christiana,Brooklyn,Williamsburg,40.70967,-73.95922,Entire home/apt,80,30,168,2018-07-22,1.67,1,0,0,1,7,2018,1
Light-filled classic Central Park,Dana,Manhattan,Upper West Side,40.79936,-73.96155,Entire home/apt,88,30,83,2020-11-21,1.35,1,296,1,1,11,2020,7
"Upper Manhattan, New York",Elliott,Manhattan,Harlem,40.82782,-73.9473,Private room,99,30,3,2019-10-21,0.09,1,365,0,1,10,2019,2
COZY QUIET monthly room 4 DOOGLERS!,Olan,Manhattan,Chelsea,40.74187,-74.00223,Private room,85,30,36,2019-08-31,0.53,2,364,0,1,8,2019,7
House On Henry (3rd FLR Suite),Annette,Brooklyn,Carroll Gardens,40.67747,-74.00146,Entire home/apt,175,3,262,2021-07-16,2.78,3,326,3,1,7,2021,6
2000 SF 3br 2ba West Village outdoor living house,Ann,Manhattan,West Village,40.72961,-74.00308,Entire home/apt,500,7,51,2021-07-18,0.52,2,230,2,1,7,2021,1
Beautiful Duplex Apartment,Brandon,Brooklyn,Park Slope,40.67115,-73.98026,Entire home/apt,220,30,89,2021-06-01,0.75,1,255,1,1,6,2021,3
"Modern Brooklyn Apt., August sublet",Erik,Brooklyn,Williamsburg,40.71649,-73.94865,Entire home/apt,83,30,29,2018-05-26,0.38,1,0,0,1,5,2018,7
"1,800 sq foot in luxury building",Dena,Manhattan,Harlem,40.8104,-73.94309,Private room,100,1,190,2020-01-01,2.25,1,307,0,1,1,2020,4
"Times Square, Safe, Clean and Cozy!",Luiz,Manhattan,Hell's Kitchen,40.75603,-73.99294,Private room,75,2,395,2021-07-15,3.59,2,300,21,1,7,2021,5
Park Slope Green Guest House,Dani,Brooklyn,South Slope,40.6686,-73.98723,Entire home/apt,90,30,475,2021-06-30,4.19,2,123,5,1,6,2021,4
2 story family home in Williamsburg,Alexandra,Brooklyn,Williamsburg,40.7184,-73.95973,Entire home/apt,165,30,343,2020-10-31,2.9,1,122,1,1,10,2020,7
Comfortable UWS 2-BD Family-Friendly Brownstone,Stacy,Manhattan,Upper West Side,40.77839,-73.97778,Entire home/apt,225,30,28,2018-06-22,0.39,1,358,0,1,6,2018,6
Sugar Hill Rest Stop,Emma,Manhattan,Harlem,40.82682,-73.94948,Entire home/apt,170,2,211,2021-07-27,1.77,1,276,3,1,7,2021,3
East Village Sanctuary,Jen,Manhattan,East Village,40.72421,-73.98509,Entire home/apt,100,30,25,2011-11-21,0.21,1,0,0,1,11,2011,2
2BR in a 3BR Bklyn apt. nxt  2 Q Trn. Mth-Mth only,Kay,Brooklyn,Prospect-Lefferts Gardens,40.6545,-73.96071,Private room,75,2,9,2018-10-05,0.07,1,209,0,1,10,2018,6
Garden studio in the Upper East Sid,Lisa,Manhattan,Upper East Side,40.77827,-73.94669,Entire home/apt,150,30,21,2017-05-26,0.22,1,218,0,1,5,2017,6
B & B Room 1,Angela,Brooklyn,Bedford-Stuyvesant,40.68288,-73.95646,Private room,80,30,66,2021-05-01,0.59,5,0,2,1,5,2021,7
"Comfortable, Sunny Room",Chris,Brooklyn,Clinton Hill,40.68292,-73.96381,Private room,89,3,285,2021-05-31,2.54,1,293,4,1,5,2021,2
Stylish Apartment with office space Near SoHo!,Uli,Manhattan,Lower East Side,40.72314,-73.99108,Entire home/apt,175,30,115,2021-07-30,1.16,2,298,10,1,7,2021,6
Most Central Location!,Larissa Nicole,Manhattan,Hell's Kitchen,40.7672,-73.98464,Private room,130,1,66,2020-06-02,2.05,3,353,0,1,6,2020,3
Luminous Beautiful West Village Studio,Tom,Manhattan,West Village,40.73405,-74.00281,Entire home/apt,135,30,32,2021-03-27,0.26,1,0,3,1,3,2021,7
Sanctuary in East Flatbush,Sunder,Brooklyn,East Flatbush,40.6327,-73.93184,Private room,80,30,4,2019-08-26,0.03,1,178,0,1,8,2019,2
Room with En Suite Bathroom & Deck,Waldemar,Brooklyn,Clinton Hill,40.68818,-73.96383,Private room,86,2,479,2021-07-14,5.08,2,337,19,1,7,2021,4
Fully Furnished Beautiful 1 Bedroom,Victor,Manhattan,East Village,40.72741,-73.98405,Entire home/apt,160,14,3,2012-09-01,0.04,1,361,0,1,9,2012,7
Retreat in Williamsburg,Ming,Brooklyn,Williamsburg,40.71512,-73.95899,Entire home/apt,215,4,265,2021-07-11,2.84,1,260,13,1,7,2021,1
NYC Zen,Paula,Manhattan,East Village,40.72367,-73.98139,Entire home/apt,125,1,34,2019-08-15,0.34,1,240,0,1,8,2019,5
"Sunny, Clean Zen Home w pr.Bath",Alex,Manhattan,Upper West Side,40.78763,-73.96862,Entire home/apt,139,120,20,2020-10-14,0.23,1,198,1,1,10,2020,4
Great location. Spacious 2BR near PROSPECT PARK,Paz,Brooklyn,Prospect Heights,40.67447,-73.96619,Entire home/apt,121,30,4,2018-01-01,0.05,1,333,0,1,1,2018,2
Private Bdrm/Bathrm. New! Elevator!,Irene,Manhattan,East Harlem,40.79128,-73.94125,Private room,59,30,34,2017-05-14,0.5,1,307,0,1,5,2017,1
"Sunny, clean 1 bdrm in W. Village",Karene,Manhattan,West Village,40.73271,-74.00367,Entire home/apt,200,30,136,2019-03-31,1.34,1,276,0,1,3,2019,1
Luxury Brownstone in Boerum Hill,Sarah,Brooklyn,Boerum Hill,40.68442,-73.98068,Entire home/apt,675,3,24,2021-06-27,0.24,1,293,1,1,6,2021,1
“Work-from-home” from OUR home.,Gus,Brooklyn,Williamsburg,40.70978,-73.95165,Private room,79,7,231,2021-07-01,2.41,1,1,12,1,7,2021,5
1 br in a 2 br apt (Midtown West),Hubert,Manhattan,Hell's Kitchen,40.76203,-73.98869,Private room,139,30,44,2018-08-04,0.37,2,365,0,1,8,2018,7
Big room w/private bathroom and great Hudson view,Corina E.,Manhattan,Upper West Side,40.77952,-73.98749,Private room,146,1,182,2021-04-18,1.48,3,345,1,1,4,2021,1
A room of own with a Manhattan view,Myung,Queens,Sunnyside,40.74523,-73.92318,Private room,79,90,29,2019-04-12,0.24,1,153,0,1,4,2019,6
"Private, Large & Sunny 1BR w/W&D",Renée,Brooklyn,Bedford-Stuyvesant,40.68216,-73.94594,Entire home/apt,135,30,337,2019-12-12,2.7,2,0,0,1,12,2019,5
Beautiful Lower East Side Loft,Koray,Manhattan,Lower East Side,40.71992,-73.99167,Entire home/apt,500,5,61,2021-07-05,0.58,1,255,4,1,7,2021,2
