neighbourhood,neighbourhood_group,Total_listings,Avg_price,population0010.x,population1020.x,population0010,population1020
Allerton,Bronx,33,105.6969696969697,1197420,1213926,1197420,1213926
Arden Heights,Staten Island,4,180,99984,100952,99984,100952
Arrochar,Staten Island,15,105.8,319998,337659,319998,337659
Arverne,Queens,78,258.0897435897436,2436665,2840145,2436665,2840145
Astoria,Queens,623,112.01284109149277,80209800,70913700,80209800,70913700
Bath Beach,Brooklyn,18,106.33333333333333,485724,508827,485724,508827
Battery Park City,Manhattan,78,215.39743589743588,1406160,2778930,1406160,2778930
Bay Ridge,Brooklyn,116,99.37931034482759,11355999,11191311,11355999,11191311
Bay Terrace,Queens,3,117.33333333333333,136386,130506,136386,130506
"Bay Terrace, Staten Island",Staten Island,0,NA,45462,43502,45462,43502
Baychester,Bronx,15,142.73333333333332,247954,241619,247954,241619
Bayside,Queens,34,118.52941176470588,1730469,1708512,1730469,1708512
Bayswater,Queens,16,100.875,821848,850986,821848,850986
Bedford-Stuyvesant,Brooklyn,2690,115.58364312267658,219969078,262628082,219969078,262628082
Belle Harbor,Queens,7,243.28571428571428,213688,224144,213688,224144
Bellerose,Queens,9,116.11111111111111,342496,354018,342496,354018
Belmont,Bronx,18,90.72222222222223,623208,657072,623208,657072
Bensonhurst,Brooklyn,70,84.7,6348000,6654525,6348000,6654525
Bergen Beach,Brooklyn,15,190.53333333333333,429400,452310,429400,452310
Bloomfield,Staten Island,0,NA,NA,NA,NA,NA
Boerum Hill,Brooklyn,142,201.33802816901408,5459919,6105615,5459919,6105615
Borough Park,Brooklyn,73,73.0958904109589,13743480,14464552,13743480,14464552
Breezy Point,Queens,2,164,80133,84054,80133,84054
Briarwood,Queens,30,402.46666666666664,2165800,2191728,2165800,2191728
Brighton Beach,Brooklyn,57,128.59649122807016,2643300,2666025,2643300,2666025
Bronxdale,Bronx,18,60.166666666666664,651871,675222,651871,675222
Brooklyn Heights,Brooklyn,98,206.83673469387756,3472392,3524598,3472392,3524598
Brownsville,Brooklyn,67,128.08955223880596,3605039,3556300,3605039,3556300
Bull's Head,Staten Island,2,53,167742,188844,167742,188844
Bushwick,Brooklyn,1699,95.5285462036492,159280905,177728965,159280905,177728965
Cambria Heights,Queens,23,97.91304347826087,544544,485602,544544,485602
Canarsie,Brooklyn,156,132.7948717948718,12503526,12302871,12503526,12302871
Carroll Gardens,Brooklyn,181,191.77900552486187,8930191,8936249,8930191,8936249
Castle Hill,Bronx,1,73,456777,483174,456777,483174
Castleton Corners,Staten Island,5,133.6,95160,96408,95160,96408
Charleston,Staten Island,0,NA,NA,NA,NA,NA
Chelsea,Manhattan,785,247.80382165605096,62148807,78076950,62148807,78076950
"Chelsea, Staten Island",Staten Island,1,102,NA,NA,NA,NA
Chinatown,Manhattan,253,179.87351778656125,19274000,17606592,19274000,17606592
City Island,Bronx,14,151.57142857142858,488520,478494,488520,478494
Civic Center,Manhattan,39,224.76923076923077,1911364,2222584,1911364,2222584
Claremont Village,Bronx,31,85.2258064516129,788172,870184,788172,870184
Clason Point,Bronx,24,107.58333333333333,1065813,1127406,1065813,1127406
Clifton,Staten Island,12,97.66666666666667,297510,336900,297510,336900
Clinton Hill,Brooklyn,381,164.56167979002623,19043024,19900452,19043024,19900452
Co-op City,Bronx,4,83.75,81352,87504,81352,87504
Cobble Hill,Brooklyn,68,216.55882352941177,2232252,2265813,2232252,2265813
College Point,Queens,24,92.95833333333333,406733,461225,406733,461225
Columbia St,Brooklyn,31,175.58064516129033,1609734,1610826,1609734,1610826
Concord,Staten Island,18,76.77777777777777,598442,645710,598442,645710
Concourse,Bronx,51,88.05882352941177,1977850,1964100,1977850,1964100
Concourse Village,Bronx,30,76.6,1886752,1993088,1886752,1993088
Coney Island,Brooklyn,17,129.35294117647058,582539,543405,582539,543405
Corona,Queens,57,81.21052631578948,3333248,3690112,3333248,3690112
Country Club,Bronx,1,106,NA,NA,NA,NA
Crown Heights,Brooklyn,1168,116.69691780821918,161814568,161356316,161814568,161356316
Cypress Hills,Brooklyn,116,143.43965517241378,6609735,6645105,6609735,6645105
Ditmars Steinway,Queens,238,94.92436974789916,27538698,24347037,27538698,24347037
Dongan Hills,Staten Island,3,127.33333333333333,161119,173845,161119,173845
Douglaston,Queens,3,119.66666666666667,194848,197912,194848,197912
Downtown Brooklyn,Brooklyn,48,159.83333333333334,2560301,2863085,2560301,2863085
DUMBO,Brooklyn,23,231.56521739130434,1110492,1241820,1110492,1241820
Dyker Heights,Brooklyn,16,86.3125,471984,509028,471984,509028
East Elmhurst,Queens,178,98.36516853932584,3918855,4282750,3918855,4282750
East Flatbush,Brooklyn,376,106.00531914893617,28016500,25177500,28016500,25177500
East Harlem,Manhattan,731,137.5047879616963,63834316,64807223,63834316,64807223
East Morrisania,Bronx,14,99.42857142857143,180720,202770,180720,202770
East New York,Brooklyn,220,104.96363636363637,18153950,20046844,18153950,20046844
East Village,Manhattan,1189,188.40201850294366,77355338,81784008,77355338,81784008
Eastchester,Bronx,10,159.3,460486,448721,460486,448721
Edenwald,Bronx,16,103.0625,460486,448721,460486,448721
Edgemere,Queens,12,106.5,348095,405735,348095,405735
Elmhurst,Queens,229,80.1353711790393,20849364,20957199,20849364,20957199
Eltingville,Staten Island,4,205.75,79128,83310,79128,83310
Emerson Hill,Staten Island,6,103.66666666666667,153810,153570,153810,153570
Far Rockaway,Queens,39,140.35897435897436,1401976,1451682,1401976,1451682
Fieldston,Bronx,7,92,336156,334320,336156,334320
Financial District,Manhattan,472,210.2415254237288,14945472,29536056,14945472,29536056
Flatbush,Brooklyn,425,104.44,68853375,65704284,68853375,65704284
Flatiron District,Manhattan,71,352.2535211267606,4467120,5612000,4467120,5612000
Flatlands,Brooklyn,74,171.09459459459458,5538258,5375246,5538258,5375246
Flushing,Queens,367,105.5558583106267,29548212,30675408,29548212,30675408
Fordham,Bronx,43,76.83720930232558,3485727,3428145,3485727,3428145
Forest Hills,Queens,102,155.18627450980392,12246624,12056832,12246624,12056832
Fort Greene,Brooklyn,341,167.4868035190616,13855815,12752631,13855815,12752631
Fort Hamilton,Brooklyn,40,110.075,4429645,4365405,4429645,4365405
Fort Wadsworth,Staten Island,1,800,15238,16079,15238,16079
Fresh Meadows,Queens,38,136.05263157894737,555936,569984,555936,569984
Gerritsen Beach,Brooklyn,1,160,NA,NA,NA,NA
Glen Oaks,Queens,1,89,NA,NA,NA,NA
Glendale,Queens,52,78.28846153846153,1677834,1754784,1677834,1754784
Gowanus,Brooklyn,165,183.21212121212122,16613961,16709303,16613961,16709303
Gramercy,Manhattan,234,198.21794871794873,8850192,9459944,8850192,9459944
Graniteville,Staten Island,2,45,83871,94422,83871,94422
Grant City,Staten Island,13,65.53846153846153,NA,NA,NA,NA
